emp_no,first_name,last_name,dept_name
483416,Kwan,Aamodt,Production
255282,Sumant,Aamodt,Production
428594,Breannda,Aamodt,Sales
265157,Narain,Aamodt,Sales
252763,Felicidad,Aamodt,Development
87637,Qingxiang,Aamodt,Finance
258861,Sigeru,Aamodt,Development
29182,Arumugam,Aamodt,Customer Service
99276,Takanari,Aamodt,Finance
68919,Licheng,Aamodt,Production
49007,Hiroyasu,Aamodt,Research
460902,Nimmagadda,Aamodt,Development
27413,Phuoc,Aamodt,Marketing
275120,Jaideep,Aamodt,Sales
471383,Mohammed,Aamodt,Development
461318,Fatemeh,Aamodt,Finance
484934,Magy,Aamodt,Development
280448,Theron,Aamodt,Sales
417278,Roselyn,Aamodt,Production
218417,Moto,Aamodt,Research
419084,Shen,Aamodt,Development
486726,Vugranam,Aamodt,Production
218417,Moto,Aamodt,Development
492771,Odoardo,Aamodt,Production
231879,Kyoichi,Acton,Production
284152,Katsuyuki,Acton,Development
291010,Danae,Acton,Production
461027,Raimond,Acton,Development
286608,Giri,Acton,Production
413496,Naftaly,Acton,Sales
490588,Hairong,Acton,Research
272887,Baziley,Acton,Quality Management
291010,Danae,Acton,Customer Service
408216,Shridhar,Acton,Sales
463214,Toshimo,Acton,Production
297135,Bezalel,Acton,Development
73542,Shigehito,Acton,Sales
264083,Vojin,Acton,Human Resources
421304,Kwee,Acton,Development
430990,Masamitsu,Acton,Research
423543,Oldrich,Acton,Development
252915,Jouni,Acton,Production
252915,Jouni,Acton,Quality Management
297135,Bezalel,Acton,Production
286429,Gina,Acton,Human Resources
299405,Werner,Acton,Marketing
68258,Kerryn,Acton,Quality Management
260670,Divine,Acton,Quality Management
40881,Hatem,Acton,Development
238752,Aluzio,Acton,Development
40881,Hatem,Acton,Production
34354,Kristen,Acton,Marketing
223594,Janalee,Acton,Production
429297,Becky,Acton,Sales
213271,Djenana,Acton,Sales
103235,Kazuhito,Acton,Quality Management
261695,Giri,Acton,Development
90793,Jinpo,Acton,Development
297948,Kristinn,Adachi,Production
253745,Krassimir,Adachi,Production
438207,Elvis,Adachi,Marketing
223389,Shuho,Adachi,Sales
428705,Tommaso,Adachi,Production
69173,Georgy,Adachi,Customer Service
295836,Haldun,Adachi,Finance
20043,Chikara,Adachi,Development
225760,Subhrajyoti,Adachi,Customer Service
463464,Conor,Adachi,Production
98293,Jayesh,Adachi,Research
462289,Kenroku,Adachi,Development
480775,Pradeep,Adachi,Finance
14659,Sashi,Adachi,Quality Management
73465,Susanne,Adachi,Production
221592,Gift,Adachi,Research
282838,Toong,Adachi,Finance
92027,Georg,Adachi,Development
405140,Stella,Adachi,Development
448808,Yannik,Adachi,Development
407559,Hironoby,Adachi,Human Resources
488767,Lubomir,Adachi,Customer Service
460473,Gregory,Aingworth,Marketing
477990,Alejandra,Aingworth,Production
445769,Theirry,Aingworth,Production
485584,Uzi,Aingworth,Development
96308,Nigel,Aingworth,Finance
458615,Paraskevi,Aingworth,Production
259313,Masadi,Aingworth,Sales
458615,Paraskevi,Aingworth,Customer Service
275285,Mana,Aingworth,Development
234604,Patricia,Aingworth,Human Resources
404085,Moie,Aingworth,Marketing
460876,Vidar,Aingworth,Development
67574,Lijie,Aingworth,Development
67594,Jiann,Aingworth,Human Resources
211655,Giap,Aingworth,Research
239745,Giao,Aingworth,Customer Service
299034,Chenxi,Aingworth,Marketing
211655,Giap,Aingworth,Development
211301,Khalid,Aingworth,Development
11441,Marlo,Aingworth,Sales
40533,Kiyotoshi,Aingworth,Production
98358,Basim,Aingworth,Development
28976,Kazuhiko,Aingworth,Development
439694,Eric,Aingworth,Human Resources
70519,Mohammad,Aingworth,Production
282119,Foong,Aingworth,Development
70519,Mohammad,Aingworth,Quality Management
108548,Sajjad,Aingworth,Research
283019,Narain,Aingworth,Development
